# ML Zoomcamp 2026 full distrust audit; active occurrence rows are final state.
# Contact sheets: all nine module sheets reviewed; native/lesson-size spot checks included.
# Status is explicit per occurrence: final active rows PASS; pre-fix action rows FAIL with disposition.
record	status	disposition	module	lesson	line	reference	alt_or_label	source_type	dimensions	crispness	overlays	fidelity	context_before	context_after	note	remote_check
pre-fix action	FAIL	REPLACE	04-evaluation	02-accuracy.md	88	images/02-accuracy-01-accuracy-vs-threshold-crisp.png		original screenshot	372x248 source, 744x496 active upscale	FAIL	none	PASS			soft 2x accuracy plot; replaced by deterministic SVG/PNG render	
pre-fix action	FAIL	REPLACE	03-classification	09-logistic-regression.md	98	images/09-logistic-regression-04-sigmoid-plot-crisp.png		original screenshot	370x245 source, 740x490 active upscale	FAIL	none	PASS			soft 2x sigmoid plot; replaced by deterministic SVG/PNG render	
pre-fix action	FAIL	REMOVE	04-evaluation	03-confusion-table.md	148	images/confusion_matrix-cropped.png		external diagram	1380x562	PASS	none	FAIL			unsupported/redundant legacy confusion diagram removed; lesson table and deterministic diagrams remain	
pre-fix action	FAIL	REMOVE	04-evaluation	04-precision-recall.md	89	images/classification_metrics-cropped.png		external diagram	1134x620	PASS	none	FAIL			redundant legacy precision/recall formula diagram removed; formulas remain in lesson text	
pre-fix action	FAIL	REMOVE	04-evaluation	05-roc.md	27	images/TPR_FPR.png		external diagram	1028x472	PASS	none	FAIL			duplicate legacy TPR/FPR diagram removed; exact formulas and code remain	
pre-fix action	FAIL	REMOVE	04-evaluation	05-roc.md	204	images/TPR_FPR.png		external diagram	1028x472	PASS	none	FAIL			second duplicate TPR/FPR reference removed	
active	PASS	KEEP	01-intro	01-what-is-ml.md	14	images/01-what-is-ml-01-price-field-imagegen-pilot.png	The price field in the form for creating a car ad	conceptual imagegen	1816x866	PASS	none	PASS	You don't want to put a price that is too high - nobody will buy the car. You also don't want a price that is too low - you're leaving money on the table. The seller wants a price that is just right.	Some people go to the website, look at existing ads and pick a price based on similar cars. That works, but we - as the owners of the website - can do better and suggest a price automatically. This is a good use case for machine learning.		
active	PASS	KEEP	01-intro	01-what-is-ml.md	28	images/01-what-is-ml-02-known-about-cars-imagegen-pilot.png	The table of what we know about cars	conceptual imagegen	1659x948	PASS	none	PASS	- The model, the number of doors and many other characteristics.	Using this information, an expert can determine the price. If you want to sell a car through a dealership, an expert looks at the year, the manufacturer, the mileage, and tells you how much this car costs. Experts can do this because they have seen many cars: they learned from data, extracted patterns - an old car is less expensive, the more a car drove the cheaper it becomes - and now they apply these patterns to new cars.		
active	PASS	KEEP	01-intro	01-what-is-ml.md	34	images/01-what-is-ml-03-expert-or-model-imagegen-pilot.png	An expert extracts patterns from data; so does machine learning	conceptual imagegen	1672x941	PASS	none	PASS	If an expert can do this, so can a model. We take a dataset with these characteristics and the prices, put it into a machine learning algorithm, and the model learns the patterns itself. This is the essence of machine learning: we take data, and the model extracts patterns from it. This way we replicate what experts learn from data.	## Features and target		
active	PASS	KEEP	01-intro	01-what-is-ml.md	45	images/01-what-is-ml-04-features-target-imagegen-pilot.png	Features - what we know about cars; target - what we want to predict	conceptual imagegen	1690x931	PASS	none	PASS	We collect the features of all the cars we have into a table, together with a column of prices - the target.	## Training a model		
